datetime_fin,datetime_ini,sequence,track_id,track_speed,trap_speed
2022-09-13 02:22:44.500,2022-09-13 02:22:40.000,20220913-020000,moose22_c2200_20220913-022240-1-71,33.31181830127017,-0.29629629629602683
2022-09-13 02:22:52.000,2022-09-13 02:22:47.000,20220913-020000,moose22_c2200_20220913-022247-1-78,28.110312496936327,-0.19999999999981813
2022-09-13 02:24:30.000,2022-09-13 02:24:24.000,20220913-020000,moose22_c2200_20220913-022424-1-87,-26.071879008723418,-0.11111111111101006
2022-09-13 03:01:41.500,2022-09-13 03:01:38.000,20220913-030000,moose22_c2200_20220913-030138-1-1,-50.53336668894222,0.6666666666668724
2022-09-13 03:02:37.000,2022-09-13 03:02:32.000,20220913-030000,moose22_c2200_20220913-030232-1-9,-59.2178146211041,0.8666666666658783
2022-09-13 03:06:50.000,2022-09-13 03:06:46.000,20220913-030000,moose22_c2200_20220913-030646-1-28,-40.156187001372146,-0.16666666666722563
2022-09-13 03:12:39.500,2022-09-13 03:12:37.000,20220913-030000,moose22_c2200_20220913-031237-1-37,-838.0374150463847,0.13333333333321207
2022-09-13 03:13:00.500,2022-09-13 03:12:51.000,20220913-030000,moose22_c2200_20220913-031251-1-46,-77.74791407180429,0.10526315789464111
2022-09-13 03:13:21.000,2022-09-13 03:13:18.000,20220913-030000,moose22_c2200_20220913-031318-1-60,60.662449590513106,-0.5555555555550502
2022-09-13 03:13:26.000,2022-09-13 03:13:23.000,20220913-030000,moose22_c2200_20220913-031323-1-64,66.01479180167902,0.333333333334925
2022-09-13 03:19:21.000,2022-09-13 03:19:18.000,20220913-030000,moose22_c2200_20220913-031918-1-70,97.23889939348385,-0.44444444444404024
2022-09-13 03:19:31.000,2022-09-13 03:19:22.500,20220913-030000,moose22_c2200_20220913-031922-2-75,119.14757179063083,0.11764705882342241
2022-09-13 03:19:36.500,2022-09-13 03:19:34.000,20220913-030000,moose22_c2200_20220913-031934-1-87,130.76954694506372,-0.26666666666528727
2022-09-13 03:19:40.000,2022-09-13 03:19:37.000,20220913-030000,moose22_c2200_20220913-031937-1-91,73.70916380510037,0.6666666666660603
2022-09-13 03:20:14.500,2022-09-13 03:19:42.000,20220913-030000,moose22_c2200_20220913-031942-1-95,5.879301468558986,0.14358974358952553
2022-09-13 03:20:19.000,2022-09-13 03:20:16.000,20220913-030000,moose22_c2200_20220913-032016-1-133,-32.36932681596843,-0.44444444444404024
2022-09-13 03:20:24.000,2022-09-13 03:20:20.000,20220913-030000,moose22_c2200_20220913-032020-1-137,-30.879747437913984,0.3333333333323196
2022-09-13 03:20:29.000,2022-09-13 03:20:26.000,20220913-030000,moose22_c2200_20220913-032026-1-143,-31.990245485171148,0.11111111111195744
2022-09-13 03:20:39.000,2022-09-13 03:20:33.000,20220913-030000,moose22_c2200_20220913-032033-1-147,-21.253139140401206,-0.2777777777775251
2022-09-13 03:20:42.000,2022-09-13 03:20:40.000,20220913-030000,moose22_c2200_20220913-032040-1-154,-25.909699621961717,0.9999999999990905
2022-09-13 03:20:52.000,2022-09-13 03:20:43.000,20220913-030000,moose22_c2200_20220913-032043-1-158,-30.766892942710857,-0.11111111111132585
2022-09-13 03:21:02.000,2022-09-13 03:20:58.000,20220913-030000,moose22_c2200_20220913-032058-1-172,-36.231002582862494,0.5833333333328028
2022-09-13 03:21:08.500,2022-09-13 03:21:04.000,20220913-030000,moose22_c2200_20220913-032104-1-178,-38.40227877407713,-0.07407407407400671
2022-09-13 03:21:31.000,2022-09-13 03:21:11.000,20220913-030000,moose22_c2200_20220913-032111-1-184,-113.29983309232723,-0.06666666666660603
2022-09-13 03:21:44.000,2022-09-13 03:21:33.000,20220913-030000,moose22_c2200_20220913-032133-1-209,-113.57397457725374,-0.36363636363654966
2022-09-13 03:23:35.000,2022-09-13 03:23:32.500,20220913-030000,moose22_c2200_20220913-032332-2-229,896.7405260491906,0.9333333333336213
2022-09-13 03:25:26.000,2022-09-13 03:25:11.000,20220913-030000,moose22_c2200_20220913-032511-1-236,-39.68032594571077,-0.04444444444440402
2022-09-13 03:27:19.000,2022-09-13 03:27:15.000,20220913-030000,moose22_c2200_20220913-032715-1-254,121.97870812112829,0.4166666666662877
2022-09-13 03:27:29.000,2022-09-13 03:27:25.000,20220913-030000,moose22_c2200_20220913-032725-1-260,101.1796242335478,-0.166666666665094
2022-09-13 04:05:40.000,2022-09-13 04:05:20.000,20220913-040000,moose22_c2200_20220913-040520-1-12,-26.922653317671013,0.03333333333330302
2022-09-13 04:11:46.000,2022-09-13 04:11:40.000,20220913-040000,moose22_c2200_20220913-041140-1-22,13.91895642545992,-0.22222222222202012
2022-09-13 04:11:57.000,2022-09-13 04:11:55.000,20220913-040000,moose22_c2200_20220913-041155-1-31,409.6005887697172,-0.9999999999990905
2022-09-13 04:12:49.500,2022-09-13 04:12:20.000,20220913-040000,moose22_c2200_20220913-041220-1-41,66.19191546717086,-0.011299435028238311
